epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5636,1.88341,2.90734,3.762,1.82097,0.00244,0.69681,0.31798,0.21065,0.00106,0.28415,0.19516,0.08217,1.94069,12.1852,4.92745,1.71417,0.00030006,0.00030006,0.00030006
2,181.955,1.31762,0.64203,2.22978,1.20758,0.00331,0.98684,0.66121,0.40408,0.00324,0.96053,0.64848,0.38938,1.23811,2.21692,3.61487,1.18766,0.000604578,0.000604578,0.000604578
3,311.349,1.2739,0.6119,1.99834,1.17034,0.85077,0.83539,0.9126,0.64448,0.85077,0.83539,0.91031,0.63741,1.1458,0.64599,2.79901,1.19274,0.000896553,0.000896553,0.000896553
4,437.817,1.23758,0.5312,1.8318,1.17347,0.84015,0.84935,0.88816,0.5899,0.84015,0.84935,0.88811,0.56982,1.24196,1.01126,2.74662,1.19686,0.00117599,0.00117599,0.00117599
5,557.607,1.28394,0.61573,1.78536,1.21094,0.94014,0.92141,0.95805,0.56051,0.94014,0.92141,0.95785,0.55839,1.36047,1.90952,2.13065,1.33066,0.00144288,0.00144288,0.00144288
6,680.786,1.21477,0.52947,1.47854,1.16641,0.92793,0.67677,0.89514,0.50729,0.92793,0.67677,0.89514,0.50524,1.48164,1.43933,2.44293,1.40226,0.00150197,0.00150197,0.00150197
7,801.15,1.25326,0.52149,1.37367,1.20056,0.96381,0.93925,0.95566,0.67163,0.96381,0.93925,0.95566,0.6427,1.16038,2.42849,1.68826,1.24673,0.00146896,0.00146896,0.00146896
8,932.947,1.20726,0.54529,1.372,1.18534,0.98684,0.975,0.97341,0.67234,0.98684,0.975,0.97338,0.63907,1.11529,0.90172,1.90857,1.24489,0.00143595,0.00143595,0.00143595
9,1058.94,1.18472,0.5219,1.14307,1.15487,0.96669,0.96305,0.97128,0.63682,0.96669,0.96305,0.97125,0.59044,1.17739,1.45895,1.43054,1.20059,0.00140295,0.00140295,0.00140295
10,1184.26,1.15865,0.54925,1.1641,1.13954,0.77726,0.8867,0.96273,0.69195,0.77726,0.8867,0.96269,0.67154,1.09738,0.70638,1.50478,1.16978,0.00136994,0.00136994,0.00136994
