epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.0157,1.4548,1.2247,2.51952,1.39007,0.97832,0.96305,0.98021,0.64546,0.97832,0.96305,0.97443,0.65354,1.32783,0.69988,2.07124,1.16447,0.000551912,0.000551912,0.000551912
2,283.346,1.21317,0.5842,1.46619,1.21043,0.9629,0.9762,0.97803,0.69712,0.9629,0.9762,0.97038,0.67463,1.11145,0.49368,1.32842,1.21044,0.00105275,0.00105275,0.00105275
3,491.94,1.2671,0.54375,1.2022,1.2448,0.96748,0.89726,0.9763,0.71691,0.96748,0.89726,0.9763,0.6758,1.10162,0.5112,1.15824,1.24618,0.00149858,0.00149858,0.00149858
4,561.827,1.21696,0.52071,1.01863,1.23829,0.72921,0.95376,0.94018,0.6843,0.72921,0.95376,0.94018,0.68847,1.05868,0.31824,1.29337,1.35998,0.00141945,0.00141945,0.00141945
5,717.468,1.17687,0.52184,0.89899,1.22814,0.9794,0.9762,0.97754,0.72158,0.9794,0.9762,0.97754,0.70515,1.01985,0.82356,0.93432,1.22198,0.00133693,0.00133693,0.00133693
6,1345.37,1.122,0.52321,0.79242,1.18329,0.97792,0.96305,0.97673,0.69694,0.97792,0.96305,0.97194,0.68794,1.06612,0.51713,0.76072,1.26642,0.00125442,0.00125442,0.00125442
7,1735.74,1.13222,0.53229,0.7469,1.1966,0.9844,0.9762,0.9819,0.71832,0.9844,0.9762,0.97392,0.69302,1.05871,0.63518,0.64893,1.26545,0.0011719,0.0011719,0.0011719
8,1787.98,1.10526,0.53237,0.71153,1.19985,0.96084,0.96159,0.97195,0.70463,0.96084,0.96159,0.97195,0.68506,1.0896,0.51838,0.68854,1.30216,0.00108938,0.00108938,0.00108938
9,1838.98,1.10873,0.48165,0.67929,1.19104,0.97075,0.96557,0.95393,0.68766,0.97075,0.96557,0.95393,0.6947,1.09341,0.47712,0.70485,1.30381,0.00100687,0.00100687,0.00100687
10,1890.7,1.08099,0.52449,0.64446,1.19122,0.98263,0.97592,0.97735,0.74855,0.98263,0.97592,0.97735,0.71344,1.01268,0.36969,0.59739,1.30278,0.000924352,0.000924352,0.000924352
11,1963.47,1.00792,0.3495,0.56841,1.23898,0.98354,0.9762,0.98083,0.73934,0.98354,0.9762,0.98083,0.72522,1.02242,0.44681,0.59112,1.29809,0.000841835,0.000841835,0.000841835
12,2015.34,0.99764,0.38055,0.53684,1.21756,0.97151,0.96669,0.97568,0.73016,0.97151,0.96669,0.97182,0.67993,1.09163,0.49515,0.59549,1.34502,0.000759318,0.000759318,0.000759318
13,2069.24,0.9752,0.3501,0.5134,1.21705,0.98555,0.97556,0.98263,0.74034,0.98555,0.97556,0.98263,0.71319,1.02749,0.4478,0.54331,1.31936,0.000676802,0.000676802,0.000676802
14,2123.61,0.96144,0.3594,0.50284,1.19063,0.98501,0.97574,0.98107,0.72784,0.98501,0.97574,0.97902,0.69417,1.07603,0.37135,0.59863,1.34551,0.000594286,0.000594286,0.000594286
15,2179.01,0.94022,0.36242,0.46624,1.18358,0.97105,0.96659,0.98278,0.76344,0.97105,0.96659,0.98041,0.74427,0.99956,0.37616,0.57838,1.30317,0.000511769,0.000511769,0.000511769
16,2233.99,0.9366,0.3625,0.46309,1.17621,0.98352,0.9762,0.98073,0.74335,0.98352,0.9762,0.98073,0.72763,1.10697,0.47724,0.54868,1.39513,0.000429253,0.000429253,0.000429253
17,2289.35,0.92534,0.35855,0.4312,1.17778,0.982,0.96819,0.98241,0.75853,0.982,0.96819,0.9794,0.73996,1.02218,0.33,0.5293,1.3466,0.000346736,0.000346736,0.000346736
18,2345.14,0.90306,0.3499,0.41338,1.1679,0.98404,0.9762,0.98052,0.74579,0.98404,0.9762,0.98052,0.71487,1.03005,0.36182,0.48137,1.34116,0.00026422,0.00026422,0.00026422
19,2400.9,0.89172,0.35792,0.40673,1.16372,0.97335,0.9756,0.9803,0.76808,0.97335,0.9756,0.9803,0.73117,1.02523,0.3212,0.51415,1.33341,0.000181703,0.000181703,0.000181703
20,2458.36,0.86744,0.3346,0.39632,1.14355,0.98455,0.97032,0.98421,0.7558,0.98455,0.97032,0.98421,0.72844,1.03658,0.31955,0.51046,1.33983,9.91865e-05,9.91865e-05,9.91865e-05
